korean,latin,transcription
가,ga,ka
각,gag,kak
갂,gagg,kak͈
갃,gags,kaks
간,gan,kan
갅,ganj,kanɟ
갆,ganh,kanh
갇,gad,kat
갈,gal,kaɾ
갉,galg,kalg
갊,galm,kalm
갋,galb,kalb
갌,gals,kals
갍,galt,kaltʰ
갎,galp,kalpʰ
갏,galh,kalh
감,gam,kam
갑,gab,kap
값,gabs,kaps
갓,gas,kas
갔,gass,kas͈
강,gang,kaŋ
갖,gaj,kac
갗,gach,kacʰ
갘,gak,kakʰ
같,gat,katʰ
갚,gap,kapʰ
갛,gah,kah
개,gae,kɛ
객,gaeg,kɛk
갞,gaegg,kɛk͈
갟,gaegs,kɛks
갠,gaen,kɛn
갡,gaenj,kɛnɟ
갢,gaenh,kɛnh
갣,gaed,kɛt
갤,gael,kɛɾ
갥,gaelg,kɛlg
갦,gaelm,kɛlm
갧,gaelb,kɛlb
갨,gaels,kɛls
갩,gaelt,kɛltʰ
갪,gaelp,kɛlpʰ
갫,gaelh,kɛlh
갬,gaem,kɛm
갭,gaeb,kɛp
갮,gaebs,kɛps
갯,gaes,kɛs
갰,gaess,kɛs͈
갱,gaeng,kɛŋ
갲,gaej,kɛc
갳,gaech,kɛcʰ
갴,gaek,kɛkʰ
갵,gaet,kɛtʰ
갶,gaep,kɛpʰ
갷,gaeh,kɛh
갸,gya,kja
갹,gyag,kjak
갺,gyagg,kjak͈
갻,gyags,kjaks
갼,gyan,kjan
갽,gyanj,kjanɟ
갾,gyanh,kjanh
갿,gyad,kjat
걀,gyal,kjaɾ
걁,gyalg,kjalg
걂,gyalm,kjalm
걃,gyalb,kjalb
걄,gyals,kjals
걅,gyalt,kjaltʰ
걆,gyalp,kjalpʰ
걇,gyalh,kjalh
걈,gyam,kjam
걉,gyab,kjap
걊,gyabs,kjaps
걋,gyas,kjas
걌,gyass,kjas͈
걍,gyang,kjaŋ
걎,gyaj,kjac
걏,gyach,kjacʰ
걐,gyak,kjakʰ
걑,gyat,kjatʰ
걒,gyap,kjapʰ
걓,gyah,kjah
걔,gyae,kja
걕,gyaeg,kjaek
걖,gyaegg,kjaek͈
걗,gyaegs,kjaeks
걘,gyaen,kjaen
걙,gyaenj,kjaenɟ
걚,gyaenh,kjaenh
걛,gyaed,kjaet
걜,gyael,kjaeɾ
걝,gyaelg,kjaelg
걞,gyaelm,kjaelm
걟,gyaelb,kjaelb
걠,gyaels,kjaels
걡,gyaelt,kjaeltʰ
걢,gyaelp,kjaelpʰ
걣,gyaelh,kjaelh
걤,gyaem,kjaem
걥,gyaeb,kjaep
걦,gyaebs,kjaeps
걧,gyaes,kjaes
걨,gyaess,kjaes͈
걩,gyaeng,kjaeŋ
걪,gyaej,kjaec
걫,gyaech,kjaecʰ
걬,gyaek,kjaekʰ
걭,gyaet,kjaetʰ
걮,gyaep,kjaepʰ
걯,gyaeh,kjaeh
거,geo,keo
걱,geog,keok
걲,geogg,keok͈
걳,geogs,keoks
건,geon,keon
걵,geonj,keonɟ
걶,geonh,keonh
걷,geod,keot
걸,geol,keoɾ
걹,geolg,keolg
걺,geolm,keolm
걻,geolb,keolb
걼,geols,keols
걽,geolt,keoltʰ
걾,geolp,keolpʰ
걿,geolh,keolh
검,geom,keom
겁,geob,keop
겂,geobs,keops
것,geos,keos
겄,geoss,keos͈
겅,geong,keoŋ
겆,geoj,keoc
겇,geoch,keocʰ
겈,geok,keokʰ
겉,geot,keotʰ
겊,geop,keopʰ
겋,geoh,keoh
게,ge,ke
겍,geg,kek
겎,gegg,kek͈
겏,gegs,keks
겐,gen,ken
겑,genj,kenɟ
겒,genh,kenh
겓,ged,ket
겔,gel,keɾ
겕,gelg,kelg
겖,gelm,kelm
겗,gelb,kelb
겘,gels,kels
겙,gelt,keltʰ
겚,gelp,kelpʰ
겛,gelh,kelh
겜,gem,kem
겝,geb,kep
겞,gebs,keps
겟,ges,kes
겠,gess,kes͈
겡,geng,keŋ
겢,gej,kec
겣,gech,kecʰ
겤,gek,kekʰ
겥,get,ketʰ
겦,gep,kepʰ
겧,geh,keh
겨,gyeo,kjeo
격,gyeog,kjeok
겪,gyeogg,kjeok͈
겫,gyeogs,kjeoks
견,gyeon,kjeon
겭,gyeonj,kjeonɟ
겮,gyeonh,kjeonh
겯,gyeod,kjeot
결,gyeol,kjeoɾ
겱,gyeolg,kjeolg
겲,gyeolm,kjeolm
겳,gyeolb,kjeolb
겴,gyeols,kjeols
겵,gyeolt,kjeoltʰ
겶,gyeolp,kjeolpʰ
겷,gyeolh,kjeolh
겸,gyeom,kjeom
겹,gyeob,kjeop
겺,gyeobs,kjeops
겻,gyeos,kjeos
겼,gyeoss,kjeos͈
경,gyeong,kjeoŋ
겾,gyeoj,kjeoc
겿,gyeoch,kjeocʰ
곀,gyeok,kjeokʰ
곁,gyeot,kjeotʰ
곂,gyeop,kjeopʰ
곃,gyeoh,kjeoh
계,gye,kje
곅,gyeg,kjek
곆,gyegg,kjek͈
곇,gyegs,kjeks
곈,gyen,kjen
곉,gyenj,kjenɟ
곊,gyenh,kjenh
곋,gyed,kjet
곌,gyel,kjeɾ
곍,gyelg,kjelg
곎,gyelm,kjelm
곏,gyelb,kjelb
곐,gyels,kjels
곑,gyelt,kjeltʰ
곒,gyelp,kjelpʰ
곓,gyelh,kjelh
곔,gyem,kjem
곕,gyeb,kjep
곖,gyebs,kjeps
곗,gyes,kjes
곘,gyess,kjes͈
곙,gyeng,kjeŋ
곚,gyej,kjec
곛,gyech,kjecʰ
곜,gyek,kjekʰ
곝,gyet,kjetʰ
곞,gyep,kjepʰ
곟,gyeh,kjeh
고,go,ko
곡,gog,kok
곢,gogg,kok͈
곣,gogs,koks
곤,gon,kon
곥,gonj,konɟ
곦,gonh,konh
곧,god,kot
골,gol,koɾ
곩,golg,kolg
곪,golm,kolm
곫,golb,kolb
곬,gols,kols
곭,golt,koltʰ
곮,golp,kolpʰ
곯,golh,kolh
곰,gom,kom
곱,gob,kop
곲,gobs,kops
곳,gos,kos
곴,goss,kos͈
공,gong,koŋ
곶,goj,koc
곷,goch,kocʰ
곸,gok,kokʰ
곹,got,kotʰ
곺,gop,kopʰ
곻,goh,koh
과,gwa,kwa
곽,gwag,kwak
곾,gwagg,kwak͈
곿,gwags,kwaks
관,gwan,kwan
괁,gwanj,kwanɟ
괂,gwanh,kwanh
괃,gwad,kwat
괄,gwal,kwaɾ
괅,gwalg,kwalg
괆,gwalm,kwalm
괇,gwalb,kwalb
괈,gwals,kwals
괉,gwalt,kwaltʰ
괊,gwalp,kwalpʰ
괋,gwalh,kwalh
괌,gwam,kwam
괍,gwab,kwap
괎,gwabs,kwaps
괏,gwas,kwas
괐,gwass,kwas͈
광,gwang,kwaŋ
괒,gwaj,kwac
괓,gwach,kwacʰ
괔,gwak,kwakʰ
괕,gwat,kwatʰ
괖,gwap,kwapʰ
괗,gwah,kwah
괘,gwae,kwa
괙,gwaeg,kwaek
괚,gwaegg,kwaek͈
괛,gwaegs,kwaeks
괜,gwaen,kwaen
괝,gwaenj,kwaenɟ
괞,gwaenh,kwaenh
괟,gwaed,kwaet
괠,gwael,kwaeɾ
괡,gwaelg,kwaelg
괢,gwaelm,kwaelm
괣,gwaelb,kwaelb
괤,gwaels,kwaels
괥,gwaelt,kwaeltʰ
괦,gwaelp,kwaelpʰ
괧,gwaelh,kwaelh
괨,gwaem,kwaem
괩,gwaeb,kwaep
괪,gwaebs,kwaeps
괫,gwaes,kwaes
괬,gwaess,kwaes͈
괭,gwaeng,kwaeŋ
괮,gwaej,kwaec
괯,gwaech,kwaecʰ
괰,gwaek,kwaekʰ
괱,gwaet,kwaetʰ
괲,gwaep,kwaepʰ
괳,gwaeh,kwaeh
괴,goe,kwe
괵,goeg,kwek
괶,goegg,kwek͈
괷,goegs,kweks
괸,goen,kwen
괹,goenj,kwenɟ
괺,goenh,kwenh
괻,goed,kwet
괼,goel,kweɾ
괽,goelg,kwelg
괾,goelm,kwelm
괿,goelb,kwelb
굀,goels,kwels
굁,goelt,kweltʰ
굂,goelp,kwelpʰ
굃,goelh,kwelh
굄,goem,kwem
굅,goeb,kwep
굆,goebs,kweps
굇,goes,kwes
굈,goess,kwes͈
굉,goeng,kweŋ
굊,goej,kwec
굋,goech,kwecʰ
굌,goek,kwekʰ
굍,goet,kwetʰ
굎,goep,kwepʰ
굏,goeh,kweh
교,gyo,kyo
굑,gyog,kyok
굒,gyogg,kyok͈
굓,gyogs,kyoks
굔,gyon,kyon
굕,gyonj,kyonɟ
굖,gyonh,kyonh
굗,gyod,kyot
굘,gyol,kyoɾ
굙,gyolg,kyolg
굚,gyolm,kyolm
굛,gyolb,kyolb
굜,gyols,kyols
굝,gyolt,kyoltʰ
굞,gyolp,kyolpʰ
굟,gyolh,kyolh
굠,gyom,kyom
굡,gyob,kyop
굢,gyobs,kyops
굣,gyos,kyos
굤,gyoss,kyos͈
굥,gyong,kyoŋ
굦,gyoj,kyoc
굧,gyoch,kyocʰ
굨,gyok,kyokʰ
굩,gyot,kyotʰ
굪,gyop,kyopʰ
굫,gyoh,kyoh
구,gu,ku
국,gug,kuk
굮,gugg,kuk͈
굯,gugs,kuks
군,gun,kun
굱,gunj,kunɟ
굲,gunh,kunh
굳,gud,kut
굴,gul,kuɾ
굵,gulg,kulg
굶,gulm,kulm
굷,gulb,kulb
굸,guls,kuls
굹,gult,kultʰ
굺,gulp,kulpʰ
굻,gulh,kulh
굼,gum,kum
굽,gub,kup
굾,gubs,kups
굿,gus,kus
궀,guss,kus͈
궁,gung,kuŋ
궂,guj,kuc
궃,guch,kucʰ
궄,guk,kukʰ
궅,gut,kutʰ
궆,gup,kupʰ
궇,guh,kuh
궈,gweo,kweo
궉,gweog,kweok
궊,gweogg,kweok͈
궋,gweogs,kweoks
권,gweon,kweon
궍,gweonj,kweonɟ
궎,gweonh,kweonh
궏,gweod,kweot
궐,gweol,kweoɾ
궑,gweolg,kweolg
궒,gweolm,kweolm
궓,gweolb,kweolb
궔,gweols,kweols
궕,gweolt,kweoltʰ
궖,gweolp,kweolpʰ
궗,gweolh,kweolh
궘,gweom,kweom
궙,gweob,kweop
궚,gweobs,kweops
궛,gweos,kweos
궜,gweoss,kweos͈
궝,gweong,kweoŋ
궞,gweoj,kweoc
궟,gweoch,kweocʰ
궠,gweok,kweokʰ
궡,gweot,kweotʰ
궢,gweop,kweopʰ
궣,gweoh,kweoh
궤,gwe,kwe
궥,gweg,kwek
궦,gwegg,kwek͈
궧,gwegs,kweks
궨,gwen,kwen
궩,gwenj,kwenɟ
궪,gwenh,kwenh
궫,gwed,kwet
궬,gwel,kweɾ
궭,gwelg,kwelg
궮,gwelm,kwelm
궯,gwelb,kwelb
궰,gwels,kwels
궱,gwelt,kweltʰ
궲,gwelp,kwelpʰ
궳,gwelh,kwelh
궴,gwem,kwem
궵,gweb,kwep
궶,gwebs,kweps
궷,gwes,kwes
궸,gwess,kwes͈
궹,gweng,kweŋ
궺,gwej,kwec
궻,gwech,kwecʰ
궼,gwek,kwekʰ
궽,gwet,kwetʰ
궾,gwep,kwepʰ
궿,gweh,kweh
귀,gwi,kwi
귁,gwig,kwik
귂,gwigg,kwik͈
귃,gwigs,kwiks
귄,gwin,kwin
귅,gwinj,kwinɟ
귆,gwinh,kwinh
귇,gwid,kwit
귈,gwil,kwiɾ
귉,gwilg,kwilg
귊,gwilm,kwilm
귋,gwilb,kwilb
귌,gwils,kwils
귍,gwilt,kwiltʰ
귎,gwilp,kwilpʰ
귏,gwilh,kwilh
귐,gwim,kwim
귑,gwib,kwip
귒,gwibs,kwips
귓,gwis,kwis
귔,gwiss,kwis͈
귕,gwing,kwiŋ
귖,gwij,kwic
귗,gwich,kwicʰ
귘,gwik,kwikʰ
귙,gwit,kwitʰ
귚,gwip,kwipʰ
귛,gwih,kwih
규,gyu,kju
귝,gyug,kjuk
귞,gyugg,kjuk͈
귟,gyugs,kjuks
균,gyun,kjun
귡,gyunj,kjunɟ
귢,gyunh,kjunh
귣,gyud,kjut
귤,gyul,kjuɾ
귥,gyulg,kjulg
귦,gyulm,kjulm
귧,gyulb,kjulb
귨,gyuls,kjuls
귩,gyult,kjultʰ
귪,gyulp,kjulpʰ
귫,gyulh,kjulh
귬,gyum,kjum
귭,gyub,kjup
귮,gyubs,kjups
귯,gyus,kjus
귰,gyuss,kjus͈
귱,gyung,kjuŋ
귲,gyuj,kjuc
귳,gyuch,kjucʰ
귴,gyuk,kjukʰ
귵,gyut,kjutʰ
귶,gyup,kjupʰ
귷,gyuh,kjuh
그,geu,kɨ
극,geug,kɨk
귺,geugg,kɨk͈
귻,geugs,kɨks
근,geun,kɨn
귽,geunj,kɨnɟ
귾,geunh,kɨnh
귿,geud,kɨt
글,geul,kɨɾ
긁,geulg,kɨlg
긂,geulm,kɨlm
긃,geulb,kɨlb
긄,geuls,kɨls
긅,geult,kɨltʰ
긆,geulp,kɨlpʰ
긇,geulh,kɨlh
금,geum,kɨm
급,geub,kɨp
긊,geubs,kɨps
긋,geus,kɨs
긌,geuss,kɨs͈
긍,geung,kɨŋ
긎,geuj,kɨc
긏,geuch,kɨcʰ
긐,geuk,kɨkʰ
긑,geut,kɨtʰ
긒,geup,kɨpʰ
긓,geuh,kɨh
긔,gyi,kы
긕,gyig,kыk
긖,gyigg,kыk͈
긗,gyigs,kыks
긘,gyin,kыn
긙,gyinj,kыnɟ
긚,gyinh,kыnh
긛,gyid,kыt
긜,gyil,kыɾ
긝,gyilg,kыlg
긞,gyilm,kыlm
긟,gyilb,kыlb
긠,gyils,kыls
긡,gyilt,kыltʰ
긢,gyilp,kыlpʰ
긣,gyilh,kыlh
긤,gyim,kыm
긥,gyib,kыp
긦,gyibs,kыps
긧,gyis,kыs
긨,gyiss,kыs͈
긩,gying,kыŋ
긪,gyij,kыc
긫,gyich,kыcʰ
긬,gyik,kыkʰ
긭,gyit,kыtʰ
긮,gyip,kыpʰ
긯,gyih,kыh
기,gi,ki
긱,gig,kik
긲,gigg,kik͈
긳,gigs,kiks
긴,gin,kin
긵,ginj,kinɟ
긶,ginh,kinh
긷,gid,kit
길,gil,kiɾ
긹,gilg,kilg
긺,gilm,kilm
긻,gilb,kilb
긼,gils,kils
긽,gilt,kiltʰ
긾,gilp,kilpʰ
긿,gilh,kilh
김,gim,kim
깁,gib,kip
깂,gibs,kips
깃,gis,kis
깄,giss,kis͈
깅,ging,kiŋ
깆,gij,kic
깇,gich,kicʰ
깈,gik,kikʰ
깉,git,kitʰ
깊,gip,kipʰ
깋,gih,kih
까,gga,k͈a
깍,ggag,k͈ak
깎,ggagg,k͈ak͈
깏,ggags,k͈aks
깐,ggan,k͈an
깑,gganj,k͈anɟ
깒,gganh,k͈anh
깓,ggad,k͈at
깔,ggal,k͈aɾ
깕,ggalg,k͈alg
깖,ggalm,k͈alm
깗,ggalb,k͈alb
깘,ggals,k͈als
깙,ggalt,k͈altʰ
깚,ggalp,k͈alpʰ
깛,ggalh,k͈alh
깜,ggam,k͈am
깝,ggab,k͈ap
깞,ggabs,k͈aps
깟,ggas,k͈as
깠,ggass,k͈as͈
깡,ggang,k͈aŋ
깢,ggaj,k͈ac
깣,ggach,k͈acʰ
깤,ggak,k͈akʰ
깥,ggat,k͈atʰ
깦,ggap,k͈apʰ
깧,ggah,k͈ah
깨,ggae,k͈ɛ
깩,ggaeg,k͈ɛk
깪,ggaegg,k͈ɛk͈
깫,ggaegs,k͈ɛks
깬,ggaen,k͈ɛn
깭,ggaenj,k͈ɛnɟ
깮,ggaenh,k͈ɛnh
깯,ggaed,k͈ɛt
깰,ggael,k͈ɛɾ
깱,ggaelg,k͈ɛlg
깲,ggaelm,k͈ɛlm
깳,ggaelb,k͈ɛlb
깴,ggaels,k͈ɛls
깵,ggaelt,k͈ɛltʰ
깶,ggaelp,k͈ɛlpʰ
깷,ggaelh,k͈ɛlh
깸,ggaem,k͈ɛm
깹,ggaeb,k͈ɛp
깺,ggaebs,k͈ɛps
깻,ggaes,k͈ɛs
깼,ggaess,k͈ɛs͈
깽,ggaeng,k͈ɛŋ
깾,ggaej,k͈ɛc
깿,ggaech,k͈ɛcʰ
꺀,ggaek,k͈ɛkʰ
꺁,ggaet,k͈ɛtʰ
꺂,ggaep,k͈ɛpʰ
꺃,ggaeh,k͈ɛh
꺄,ggya,k͈ja
꺅,ggyag,k͈jak
꺆,ggyagg,k͈jak͈
꺇,ggyags,k͈jaks
꺈,ggyan,k͈jan
꺉,ggyanj,k͈janɟ
꺊,ggyanh,k͈janh
꺋,ggyad,k͈jat
꺌,ggyal,k͈jaɾ
꺍,ggyalg,k͈jalg
꺎,ggyalm,k͈jalm
꺏,ggyalb,k͈jalb
꺐,ggyals,k͈jals
꺑,ggyalt,k͈jaltʰ
꺒,ggyalp,k͈jalpʰ
꺓,ggyalh,k͈jalh
꺔,ggyam,k͈jam
꺕,ggyab,k͈jap
꺖,ggyabs,k͈japs
꺗,ggyas,k͈jas
꺘,ggyass,k͈jas͈
꺙,ggyang,k͈jaŋ
꺚,ggyaj,k͈jac
꺛,ggyach,k͈jacʰ
꺜,ggyak,k͈jakʰ
꺝,ggyat,k͈jatʰ
꺞,ggyap,k͈japʰ
꺟,ggyah,k͈jah
꺠,ggyae,k͈ja
꺡,ggyaeg,k͈jaek
꺢,ggyaegg,k͈jaek͈
꺣,ggyaegs,k͈jaeks
꺤,ggyaen,k͈jaen
꺥,ggyaenj,k͈jaenɟ
꺦,ggyaenh,k͈jaenh
꺧,ggyaed,k͈jaet
꺨,ggyael,k͈jaeɾ
꺩,ggyaelg,k͈jaelg
꺪,ggyaelm,k͈jaelm
꺫,ggyaelb,k͈jaelb
꺬,ggyaels,k͈jaels
꺭,ggyaelt,k͈jaeltʰ
